DEBUG [2026-03-21T11:13:38.407176100]: Medication(id=null, petId=4, petName=chutti, veterinarianId=2, veterinarianName=vihindu , drugName=Rimadyl, dosage=1/2 Tablet, frequency=Once Daily, startDate=2026-03-21, endDate=2026-03-23, interactionAlerts=, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=jbcbbkbbecyivekbfyvidakbvviyvhkbv, remarks=, totalDoses=5, administeredDoses=0)
DEBUG [2026-03-21T11:14:47.909579400]: Medication(id=null, petId=4, petName=chutti, veterinarianId=2, veterinarianName=vihindu , drugName=Prednisone, dosage=1 Tablet, frequency=Twice a day, startDate=2026-03-21, endDate=2026-03-27, interactionAlerts=, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=aancjbjdkcbdjcc, remarks=, totalDoses=10, administeredDoses=0)
DEBUG [2026-03-21T11:15:20.296363700]: Medication(id=null, petId=4, petName=chutti, veterinarianId=2, veterinarianName=vihindu , drugName=Rimadyl, dosage=1/2 Tablet, frequency=Twice a day, startDate=2026-03-21, endDate=2026-03-28, interactionAlerts=, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=sncncjjcjccbjclc, remarks=, totalDoses=15, administeredDoses=0)
DEBUG [2026-03-21T11:16:14.985629]: Medication(id=null, petId=4, petName=chutti, veterinarianId=2, veterinarianName=vihindu , drugName=Prednisone, dosage=5 ml, frequency=Twice a day, startDate=2026-03-21, endDate=2026-03-28, interactionAlerts=, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=safbewfewhevfe, remarks=, totalDoses=10, administeredDoses=0)
DEBUG [2026-03-21T11:25:20.721864600]: Medication(id=null, petId=4, petName=chutti, veterinarianId=2, veterinarianName=vihindu , drugName=Amoxicillin, dosage=1 Tablet, frequency=Once Daily, startDate=2026-03-21, endDate=2026-03-25, interactionAlerts=, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=hcgvhbkjnklmlghkjlk;lcfgvjbhk, remarks=, totalDoses=10, administeredDoses=0)
DEBUG [2026-03-21T11:26:03.396015400]: Medication(id=null, petId=4, petName=chutti, veterinarianId=2, veterinarianName=vihindu , drugName=Prednisone, dosage=1/2 Tablet, frequency=Twice a day, startDate=2026-03-21, endDate=2026-03-25, interactionAlerts=vvvvvvvvvv, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=sdgfhvjndxcfhgjkn, remarks=, totalDoses=5, administeredDoses=0)
DEBUG [2026-03-21T11:35:34.303741300]: Medication(id=null, petId=4, petName=chutti, veterinarianId=2, veterinarianName=vihindu , drugName=Prednisone, dosage=1 Tablet, frequency=Twice a day, startDate=2026-03-21, endDate=2026-03-26, interactionAlerts=gggggg, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=hhhhhhh, remarks=, totalDoses=10, administeredDoses=0)
DEBUG [2026-03-21T11:39:31.562211900]: Medication(id=null, petId=4, petName=chutti, veterinarianId=2, veterinarianName=vihindu , drugName=Rimadyl, dosage=1 Tablet, frequency=Twice a day, startDate=2026-03-21, endDate=2026-03-26, interactionAlerts=, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=asdfghjklasdfghjkretdryugyi, remarks=, totalDoses=12, administeredDoses=0)
DEBUG [2026-03-24T11:15:08.319204300]: Medication(id=null, petId=9, petName=browny, veterinarianId=2, veterinarianName=vihindu , drugName=Rimadyl, dosage=1/2 Tablet, frequency=Twice a day, startDate=2026-03-24, endDate=2026-03-31, interactionAlerts=, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=its harmefull, remarks=, totalDoses=10, administeredDoses=0)
DEBUG [2026-03-24T11:15:53.251295900]: Medication(id=null, petId=9, petName=browny, veterinarianId=2, veterinarianName=vihindu , drugName=Prednisone, dosage=2 Tablets, frequency=Once Daily, startDate=2026-03-24, endDate=2026-03-28, interactionAlerts=, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=hfhafbafw, remarks=, totalDoses=10, administeredDoses=0)
DEBUG [2026-03-24T16:32:31.999127400]: Medication(id=null, petId=9, petName=browny, veterinarianId=2, veterinarianName=vihindu , drugName=theeka, dosage=2 Tablets, frequency=Twice a day, startDate=2026-03-24, endDate=2026-03-31, interactionAlerts=, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=fgfjjhfh, remarks=, totalDoses=10, administeredDoses=0)
DEBUG [2026-03-24T17:12:33.080022700]: Medication(id=null, petId=9, petName=browny, veterinarianId=2, veterinarianName=vihindu , drugName=Prednisone, dosage=5ml, frequency=Once Daily, startDate=2026-03-24, endDate=2026-03-31, interactionAlerts=, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=gfchgvghvkbhbh, remarks=, totalDoses=10, administeredDoses=0)
DEBUG [2026-03-25T12:16:21.542162500]: Medication(id=null, petId=11, petName=tommy, veterinarianId=2, veterinarianName=vihindu , drugName=Amoxicillin, dosage=1/2 Tablet, frequency=Twice a day, startDate=2026-03-25, endDate=2026-03-29, interactionAlerts=, prescriptionRef=, prescriptionFile=null, prescriptionFileName=null, prescriptionFileType=null, diagnosticNote=gfgjgj, remarks=, totalDoses=10, administeredDoses=0)
